Headline,Summary,Category,Date Published,Link to Article
Swimming lessons save lives: What parents should know,"Every day, about 11 people die from drowning in the United States. Swimming lessons help save lives and parents should know how to choose the right program and encourage children to learn skills that will help them to stay safe at the beach and around ponds or pools.",Child & Teen Health,"May 6, 2022",https://www.health.harvard.edu/blog/swimming-lessons-10-things-parents-should-know-2018061514064
"Strong legs help power summer activities: Hiking, biking, swimming, and more","Legs are the foundation for many enjoyable activities—running, bicycling, swimming, and more. Building strong leg muscles can improve your performance, build endurance, and reduce your risk of injury. These exercises will work all of the major muscle groups in your legs.",Exercise & Fitness,"May 12, 2022",https://www.health.harvard.edu/blog/strong-legs-help-power-summer-activities-hiking-biking-swimming-and-more-202205122743
What is a successful mindset for weight loss maintenance?,"Most people are able to lose weight in the short term, but will probably regain that weight as time passes. By studying people who lose weight and are able to maintain the loss for several years, insight into their approach can help others understand the strategies that are most likely to lead to long-term success.",Staying Healthy,"May 11, 2022",https://www.health.harvard.edu/blog/what-is-a-successful-mindset-for-weight-loss-maintenance-202205112742
"French fries versus almonds: Calorie for calorie, which comes out on top?","A study compared eating a serving of French fries every day for a month to eating a serving of almonds with the same number of calories, and found that levels of some health markers were similar between the two groups — but those numbers don’t tell the full story.",Nutrition,"May 10, 2022",https://www.health.harvard.edu/blog/french-fries-versus-almonds-calorie-for-calorie-which-comes-out-on-top-202205102741
Summer camp 2022: Having fun and staying safe,"After all we’ve been through during the last couple of years, many families and kids are looking forward to being able to return to summer camp. But COVID-19 is still with us and parents need to consider this as they make plans for safe and fun summer activities.",Child & Teen Health,"May 9, 2022",https://www.health.harvard.edu/blog/summer-camp-2022-having-fun-and-staying-safe-202205092740
Finding balance: 3 simple exercises to steady your steps,"Being able to maintain balance is crucial to performing everyday activities. As people get older, systems in the body that help maintain balance aren’t as responsive as when they were younger. Practicing these exercises designed to improve balance helps build steadiness and prevent falls.",Exercise & Fitness,"October 13, 2021",https://www.health.harvard.edu/blog/finding-balance-3-simple-exercises-to-steady-your-steps-202110132612
An action plan to fight unhealthy inflammation,"Inflammation serves a vital role in the body’s defense and repair systems, but chronic inflammation can be harmful. Learn six of the most effective ways to ward off unhealthy inflammation.",Staying Healthy,"May 5, 2022",https://www.health.harvard.edu/blog/an-action-plan-to-fight-unhealthy-inflammation-202205052739
How to recognize and tame your cognitive distortions,Cognitive distortions are internal mental filters or biases that fuel anxiety and make us feel bad about ourselves. These filters can cause us to devolve into counterproductive brooding that can worsen depression or anxiety and stall positive lifestyle changes. So how can you recognize and overcome these distortions?,Mind & Mood,"May 4, 2022",https://www.health.harvard.edu/blog/how-to-recognize-and-tame-your-cognitive-distortions-202205042738
LATE: A common cause of dementia you’ve never heard of,"LATE is a brain disorder that causes dementia in older individuals. In fact it is the third most common cause of dementia, but it affects many of the same brain regions as Alzheimer’s disease so it presents with similar symptoms, and it’s only with the advent of special diagnostic tests that clinicians have realized how common it is.",Mind & Mood,"May 3, 2022",https://www.health.harvard.edu/blog/late-a-common-cause-of-dementia-youve-never-heard-of-202205032737
How to break a bad habit,"We all have habits we’d like to break, but the brain doesn’t make changes easily. Breaking an unhealthy habit can be done; to do so, it helps to understand what’s happening in the brain, know why you want to change, and accept that there will be setbacks along the way.",Mind & Mood,"May 2, 2022",https://www.health.harvard.edu/blog/how-to-break-a-bad-habit-202205022736
Long-lasting healthy changes: Doable and worthwhile,"Abundant research shows that healthy lifestyle factors protect people against serious health problems like diabetes, high blood pressure, heart disease, stroke, cancer, and more. Even small steps toward a healthier lifestyle can make a big difference in our lives––here's practical advice for making healthy changes stick.",Staying Healthy,"September 14, 2021",https://www.health.harvard.edu/blog/long-lasting-healthy-changes-doable-and-worthwhile-202109142594
What is alopecia areata and how is it managed?,"Hair loss is a common problem for many men and women, but what does it mean to have alopecia? Alopecia areata occurs when the body's immune system attacks hair follicles, resulting in hair loss. AA can affect the scalp, eyebrows, eyelashes, or anywhere hair grows on the body.",Diseases & Conditions,"April 28, 2022",https://www.health.harvard.edu/blog/what-is-alopecia-areata-and-how-is-it-managed-202204282732
New Harvard tool helps fact-check cancer claims,Scary or misleading claims about things that may cause cancer are so plentiful that it’s hard to know which ones to take seriously. A new website developed by experts aims to provide reliable information about whether a particular cancer claim is true.,Staying Healthy,"April 27, 2022",https://www.health.harvard.edu/blog/new-harvard-tool-helps-fact-check-cancer-claims-202204272735
Repeating the story: What to expect in the emergency department,"If you wind up in an emergency department due to an illness or accident what should you know and what can you expect? It’s frustrating to have to wait for care, and also frustrating to have to explain your situation multiple times to different people, but there are reasons why it all happens.",Diseases & Conditions,"April 26, 2022",https://www.health.harvard.edu/blog/repeating-the-story-what-to-expect-in-the-emergency-department-202204262734
Blood donations are down — so why restrict blood donors by sexual orientation?,"The blood supply in the US is critically low, but FDA guidelines prohibit men who have sex with men from donating blood if they have been sexually active in the previous three months. All donated blood is tested for a number of transmissible infections, and medical organizations are calling for this policy to be changed.",Healthcare Disparities,"April 25, 2022",https://www.health.harvard.edu/blog/blood-donations-are-down-so-why-restrict-blood-donors-by-sexual-orientation-202204252733
Eating disorders spike among children and teens: What parents should know,"A notable rise in eating disorders is particularly marked among adolescent girls. Many kinds of eating disorders can affect children and teens, and parents need to understand their causes and be aware of signs suggesting their child may have an eating disorder.",Child & Teen Health,"April 21, 2022",https://www.health.harvard.edu/blog/eating-disorders-spike-among-children-and-teens-what-parents-should-know-202204212731
Recognizing and treating disorders of gut-brain interaction,Many conditions of the gastrointestinal tract are easy to diagnose using standard testing. But some such diseases can impact the GI tract without a clear test finding. Disorders of gut-brain interaction are so called because they involve impaired communication between the gut and brain via the nervous system.,Diseases & Conditions,"April 20, 2022",https://www.health.harvard.edu/blog/recognizing-and-treating-disorders-of-gut-brain-interaction-202204202730
Power your paddle sports with three great exercises,"Like kayaking or canoeing, paddleboarding provides a serious workout. But before you head out on the water, you’ll want to get some key muscle groups in shape, especially ones that probably have not been used much during winter.",Exercise & Fitness,"April 19, 2022",https://www.health.harvard.edu/blog/power-your-paddle-sports-with-three-great-exercises-202204192726
A common virus may be one contributing cause of multiple sclerosis,"The vast majority of diseases do not have a single cause; rather, multiple factors combine to cause a disease. Growing evidence suggests that several viruses may be triggers of multiple sclerosis, and a long-term study found evidence that an infection with a common virus can be an important contributing factor in MS.",Diseases & Conditions,"April 19, 2022",https://www.health.harvard.edu/blog/a-common-virus-may-be-one-contributing-cause-of-multiple-sclerosis-202204182728
Moving to wellness while practicing body neutrality,"It can be helpful to think of health as a spectrum, with illness at one end and wellness at the other. Someone who is in the neutral (middle) position can move to the wellness side by adopting and sustaining healthy lifestyle habits — and that has little to do with a person’s shape or size.",Staying Healthy,"April 14, 2022",https://www.health.harvard.edu/blog/moving-to-wellness-while-practicing-body-neutrality-202204142727
Primary progressive aphasia involves many losses: Here's what you need to know,"When thinking about progressive brain disorders that cause dementia, you’d probably think of memory problems. But sometimes language problems, also known as aphasia, are the first symptom. There are different variants of aphasia depending on what aspect of language is disrupted, and they are caused by different diseases.",Mind & Mood,"April 13, 2022",https://www.health.harvard.edu/blog/progressive-aphasia-involves-many-losses-heres-what-you-need-to-know-202204132723
Healthy oils at home and when eating out,"When thinking about nutrition, some people think that all fats are bad, but this is not true. Fats are important to a healthy eating plan; the important thing is knowing the right kinds to use, and this is easier when preparing food at home than when eating in restaurants.",Nutrition,"April 12, 2022",https://www.health.harvard.edu/blog/healthy-oils-at-home-and-when-eating-out-202204122724
Enjoy avocados? Eating one a week may lower heart disease risk,"Avocados are abundant in healthy fats, fiber, and micronutrients that boost heart health. A long-term study has found that people who eat avocado regularly have a lower risk of cardiovascular disease, which leads to heart attacks and strokes.",Nutrition,"April 11, 2022",https://www.health.harvard.edu/blog/enjoy-avocados-eating-one-a-week-may-lower-heart-disease-risk-202204112725
When is a drug rash more than just a rash?,"Rashes are a common side effect of many medications, and while they can be annoying, they typically run their course over a week or two. But not all drug rashes are mild — and some can even be deadly. How can you tell a serious rash from one that is just a nuisance?",Diseases & Conditions,"April 7, 2022",https://www.health.harvard.edu/blog/when-is-a-drug-rash-more-than-just-a-rash-202204072720
New treatment approved for late-stage prostate cancer,The FDA has approved a new medication therapy for advanced prostate cancer that is spreading in the body. The new treatment can seek out and destroy tumors that are still too small to be found via conventional medical imaging. Results of a clinical trial showed that this new drug was effective at delaying cancer progression.,Men's Health,"April 7, 2022",https://www.health.harvard.edu/blog/new-treatment-approved-for-late-stage-prostate-cancer-202204072722
Poor housing harms health in American Indian and Alaska Native communities,"American Indian and Alaska Native tribal communities face a housing crisis that pleads for national housing reforms. Poor housing conditions have led to high rates of health problems and disability, underscoring the need for adequate, affordable housing designed for people of all ages and abilities.",Healthcare Disparities,"April 6, 2022",https://www.health.harvard.edu/blog/poor-housing-harms-health-in-american-indian-and-alaska-native-communities-202204062721
Constantly clearing your throat? Here’s what to try,"When you have a cold, it’s normal to feel mucus sitting at the back of your throat, and to have the urge to clear it. Typically this sensation lasts just a few days, but what happens if it lingers for weeks or months?",Diseases & Conditions,"April 5, 2022",https://www.health.harvard.edu/blog/constantly-clearing-your-throat-heres-what-to-try-202204052719
"Snooze more, eat less? Sleep deprivation may hamper weight control",It’s now understood that many factors influence a person’s ability to lose weight —not just burning more calories than are taken in. A new study supports the idea that people using sleep hygiene tips to get sufficient sleep consume fewer calories than people who are sleep-deprived.,Nutrition,"April 4, 2022",https://www.health.harvard.edu/blog/snooze-more-eat-less-sleep-deprivation-may-hamper-weight-control-202204042718
Sexual fluidity and the diversity of sexual orientation,"It’s a common misconception that sexual orientation develops at an early age and remains stable throughout a person’s life. Yet differing forms of sexual fluidity are a common thread in many lives and understanding changes in attraction, identity, and behavior underpinning this can help dispel misconceptions and reduce stigma.",Staying Healthy,"March 31, 2022",https://www.health.harvard.edu/blog/sexual-fluidity-and-the-diversity-of-sexual-orientation-202203312717
Screening at home for memory loss: Should you try it?,The time pressures of primary care doctors make it unlikely that they will be able to give their patients tests of cognitive function. So how will the growing numbers of people at risk for Alzheimer’s or another type of dementia be identified? A self-administered test is now available.,Mind & Mood,"March 30, 2022",https://www.health.harvard.edu/blog/screening-at-home-for-memory-loss-202203302716
Should you be tested for inflammation?,"Our understanding of how chronic inflammation can impair health has expanded dramatically in recent years, causing some people to wonder if there is a test to identify it, and if they should have it. There are several tests that can detect inflammation, and they are useful in certain situations, but not universally.",Diseases & Conditions,"March 29, 2022",https://www.health.harvard.edu/blog/should-you-be-tested-for-inflammation-202203292715
Overeating? Mindfulness exercises may help,"It’s possible to overeat and not even realize it until you’ve finished a meal and doing so does not mean you have an eating problem or disorder. Mindfulness exercises can help you slow down and enjoy eating, making it easier to avoid overeating.",Nutrition,"March 28, 2022",https://www.health.harvard.edu/blog/overeating-mindfulness-exercises-may-help-202203282714
Comparing traditional and robotic-assisted surgery for prostate cancer,"Today, most surgeries to remove the prostate gland in men with prostate cancer are performed with robotic assistance, which ostensibly offers quality-of-life advantages. But how does this method compare with traditional open surgery? A recent study provides some clarity.",Men's Health,"March 25, 2022",https://www.health.harvard.edu/blog/comparing-traditional-and-robotic-assisted-surgery-for-prostate-cancer-202203252713
Can vitamin D supplements prevent autoimmune disease?,"Claims that vitamin D supplements are beneficial to health are common, but many of these supposed benefits remain unproven. A recent study looked at data from over 25,000 people in an attempt to determine if taking vitamin D regularly might help prevent autoimmune disease.",Nutrition,"March 24, 2022",https://www.health.harvard.edu/blog/can-vitamin-d-supplements-prevent-autoimmune-disease-202203242712
The plant milk shake-up: Pea and pistachio join oat and almond,"Pea, potato, and pistachio milk? Supermarkets now sell multiple kinds of plant-based milks made from nuts, beans, grains, vegetables, or fruit. Before trying these, some people might like to know more about nutritional benefits and any other reasons to choose or avoid them.",Nutrition,"March 23, 2022",https://www.health.harvard.edu/blog/the-plant-milk-shake-up-pea-and-pistachio-join-oat-and-almond-202203232711
"Sex, drugs, and depression: What your doctor needs to know","For many people, a visit to the doctor causes anxiety, and discussing sensitive subjects like sexual problems, substance use, or mental health issues is even more likely to induce discomfort. But these discussions can be less anxiety-inducing and more productive if people know what to expect.",Staying Healthy,"March 22, 2022",https://www.health.harvard.edu/blog/sex-drugs-and-depression-what-your-doctor-needs-to-know-202203222710
Paths to parenting: Choosing single parenthood through pregnancy,"Choosing to become pregnant and parent without a partner is increasingly common and more widely accepted than in the past, but deciding to pursue this path can be lonely. Additionally, there are important questions about financial security and the support of family and friends that a prospective single parent needs to consider.",Women's Health,"March 21, 2022",https://www.health.harvard.edu/blog/paths-to-parenting-choosing-single-parenthood-through-pregnancy-202203282709
Brain fog: Memory and attention after COVID-19,"Brain fog, meaning slow or sluggish thinking, can occur under many different circumstances. In many cases, it is temporary and gets better on its own. Many people who have recovered from COVID-19 report some degree of brain fog and a study suggests even those with milder cases may experience problems with memory and attention.",Mind & Mood,"March 17, 2022",https://www.health.harvard.edu/blog/brain-fog-memory-and-attention-after-covid-19-202203172707
Why all the buzz about inflammation — and just how bad is it?,"Inflammation is the body’s response to an injury, allergy, or infection, a reaction that attempts to restore the health of the affected area. But that’s only part of the story, because there are two types of inflammation, and it’s important to know the difference—and what is and isn’t true about all types.",Staying Healthy,"March 16, 2022",https://www.health.harvard.edu/blog/why-all-the-buzz-about-inflammation-and-just-how-bad-is-it-202203162705
"""Vitamin M"" — is melatonin the cure for your sleep problems?","The CDC estimates that 70 million Americans suffer from chronic sleep problems. For some, melatonin is believed to be a safe treatment option because it is a hormone produced by our bodies. But evidence of its effectiveness is lacking, and inconsistent quality of product is a concern.",Staying Healthy,"March 15, 2022",https://www.health.harvard.edu/blog/vitamin-m-is-melatonin-the-cure-for-your-sleep-problems-202203152703
The care that transgender youth need and deserve,"Some people feel very strongly that their gender is not the one they were assigned at birth. When families, health care providers, and others ignore or deny this, or try to stop the person from living as the gender they feel is right for them, it’s not only unkind but dangerous.",Child & Teen Health,"March 14, 2022",https://www.health.harvard.edu/blog/the-care-that-transgender-youth-need-and-deserve-202203142704
Warming up to the cold: Staying active in any weather,"It’s difficult to get motivated to be active outside during cold-weather months, but it’s important to your health and can help you meet any fitness goals you’re trying to reach. There are ways to get outside and moving in cold temperatures.",Exercise & Fitness,"March 10, 2022",https://www.health.harvard.edu/blog/warming-up-to-the-cold-staying-active-in-any-weather-202203102702
Struggling to sleep? Your heart may pay the price,"Growing evidence suggests that poor sleep is linked to a host of health problems, including a higher risk of high blood pressure, diabetes, obesity, and heart disease. Now, a recent study on people in midlife finds that having a combination of sleep problems may nearly triple a person’s risk of heart disease.",Heart Health,"March 9, 2022",https://www.health.harvard.edu/blog/struggling-to-sleep-your-heart-may-pay-the-price-202203092701
The mental health crisis among children and teens: How parents can help,"Alarming rates of anxiety and depression are affecting children and teens across the US. While calls are made to expand much-needed programs and access to services, there are actions parents can take today to support their children’s mental health.",Child & Teen Health,"March 8, 2022",https://www.health.harvard.edu/blog/the-mental-health-crisis-among-children-and-teens-how-parents-can-help-202203082700
Harvard Health Ad Watch: A blood thinner winner?,Medicines known as blood thinners are prescribed as long-term treatment to avoid initial or recurring blood clots that could cause serious complications. What does an ad in heavy rotation about the brand name blood thinner Eliquis get right and what else do you need to consider?,Diseases & Conditions,"March 7, 2022",https://www.health.harvard.edu/blog/harvard-health-ad-watch-a-blood-thinner-winner-202203072698
Close relationships with neighbors influence cardiovascular health in Black adults,"A study of Black adults living in the Atlanta area suggests that feeling rooted in community and socializing with neighbors may strongly contribute to better cardiovascular health, which might lower risk for heart attacks and strokes.",Heart Health,"March 3, 2022",https://www.health.harvard.edu/blog/close-relationships-with-neighbors-influence-cardiovascular-health-in-black-adults-202203032699
Can breastfeeding really prevent pregnancy?,"New parents might want to wait awhile before considering having another child, and breastfeeding prevents ovulation, so some people use it as a natural birth control method during the early months of an infant’s life. However, it's effective only if a mother is breastfeeding frequently and an infant is receiving only breast milk as food.",Women's Health,"March 2, 2022",https://www.health.harvard.edu/blog/can-breastfeeding-really-prevent-pregnancy-202203022697
Olive oil: Can it lower your risk of dying early?,"The benefits of olive oil to help reduce the risk of heart disease are well-known, but a recent study showed that people who consumed the highest amount of olive oil daily had a lower overall risk of dying early, as well as lower risk of dying from heart disease, cancer, and other diseases.",Staying Healthy,"March 1, 2022",https://www.health.harvard.edu/blog/olive-oil-can-it-lower-your-risk-of-dying-early-202203012695
Taking an aging parent to the doctor? 10 helpful tips,"When you take an aging parent to a medical appointment, you wind up playing many roles. Millions of people in the US are caring for family members and are learning as they go along, so they can benefit from tips to keep them on track before, during, and after the appointment.",Diseases & Conditions,"February 28, 2022",https://www.health.harvard.edu/blog/taking-an-aging-parent-to-the-doctor-10-helpful-tips-202202282696
Resilience: 5 ways to help children and teens learn it,The past two years have been hard and children and teens have had to deal with particularly challenging circumstances. Resilience—the ability to overcome hardship and stress—is one of the most important skills parents can teach their children.,Child & Teen Health,"February 24, 2022",https://www.health.harvard.edu/blog/resilience-5-ways-to-help-children-and-teens-learn-it-202202242694
Could cataract surgery protect against dementia?,"Having surgery to remove cataracts restores blurred or distorted vision, helping to improve quality of life for older adults. Now, a new study makes a strong case that removing cataracts may reduce a person’s risk of developing dementia.",Staying Healthy,"February 23, 2022",https://www.health.harvard.edu/blog/could-cataract-surgery-protect-against-dementia-202202232693
Another natural remedy for constipation?,"Constipation can describe many types of problems with moving your bowels. It becomes chronic when it lasts for weeks or months. Many people are interested in natural remedies for constipation, and one of the most common is adding fiber to your diet. A new study compared three natural sources of fiber, with encouraging results.",Diseases & Conditions,"February 22, 2022",https://www.health.harvard.edu/blog/another-natural-remedy-for-constipation-202202222690
Even low-level air pollution may harm health,"The burning of fossil fuels is a major contributor to climate change, and pollution from this burning has been linked to millions of premature deaths worldwide. And, according to a new report, even low levels of air pollution may harm our health although we can take steps to limit exposure.",Staying Healthy,"February 21, 2022",https://www.health.harvard.edu/blog/even-low-level-air-pollution-may-harm-health-202202212692
Does the sex of your surgeon matter? A new study says yes,"If you need surgery, does the sex of the surgeon matter? A study reviewed procedures done in Canada over a 12-year period involving more than a million adults, and found that in general, people operated on by female surgeons were less likely to experience complications. But why?",Diseases & Conditions,"February 17, 2022",https://www.health.harvard.edu/blog/does-the-sex-of-your-surgeon-matter-a-new-study-says-yes-202202172691
Can we prevent depression in older adults by treating insomnia?,"Depression is common among older adults, and insomnia doubles the risk of major depressive disorder. There is increasing evidence that treating insomnia in older people who have both insomnia and major depression has the potential to improve both their sleep and their mood.",Mind & Mood,"February 16, 2022",https://www.health.harvard.edu/blog/can-we-prevent-depression-in-older-adults-by-treating-insomnia-202202162687
Health disparities and headache treatment,,Diseases & Conditions,"February 15, 2022",https://www.health.harvard.edu/blog/health-disparities-and-headache-treatment-202202152685
"Optimism, heart health, and longevity: Unraveling the link for Black Americans",,Staying Healthy,"February 14, 2022",https://www.health.harvard.edu/blog/optimism-heart-health-and-longevity-unraveling-the-link-for-black-americans-202202142689
Take the lead on lead poisoning,,Child & Teen Health,"February 10, 2022",https://www.health.harvard.edu/blog/take-the-lead-on-lead-poisoning-202202102688
New guidance on return to youth sports and activity after COVID-19,,Child & Teen Health,"February 9, 2022",https://www.health.harvard.edu/blog/new-guidance-on-return-to-youth-sports-and-activity-after-covid-19-202202092686
Scoring highly on Alternative Healthy Eating Index lowers risk for many illnesses,,Nutrition,"February 8, 2022",https://www.health.harvard.edu/blog/scoring-highly-on-alternative-healthy-eating-index-lowers-risk-for-many-illnesses-202202082681
Is a mobile app as good as a therapist?,"Due to the lengthy wait for an appointment with a therapist, many people have turned to the numerous mental health apps available on smartphones. Research did not find convincing evidence that use of any such app resulted in significant improvement in symptoms, but some may be useful as a complement to therapy.",Mind & Mood,"February 7, 2022",https://www.health.harvard.edu/blog/is-a-mobile-app-as-good-as-a-therapist-202202072683
Paths to parenthood: Receiving an embryo donation,,Women's Health,"February 3, 2022",https://www.health.harvard.edu/blog/paths-to-parenthood-receiving-an-embryo-donation-202202032682
Can ALS be caused by traumatic brain injury?,"Though decades of research have suggested risk factors for amyotrophic lateral sclerosis, a specific cause remains unknown. New research studied professional football players and found that they had a much higher risk of developing ALS than men in the general population, though the study was only observational.",Diseases & Conditions,"February 2, 2022",https://www.health.harvard.edu/blog/can-als-be-caused-by-traumatic-brain-injury-202202022680
The rising tide of dementia and the need for nondrug therapies,,Mind & Mood,"February 1, 2022",https://www.health.harvard.edu/blog/the-rising-tide-of-dementia-and-the-need-for-nondrug-therapies-202202012679
Are certain fruits healthier than others?,"Most people have heard the nutritional recommendation to eat five servings of fruit per day. But are some fruits better for you than others? Is it okay to eat dried or frozen fruit, or to drink fruit juice? Does it have to be organic?",Nutrition,"January 31, 2022",https://www.health.harvard.edu/blog/are-certain-fruits-healthier-than-others-202201312677
Treatment with abiraterone significantly improves survival in advanced prostate cancer,,Men's Health,"January 28, 2022",https://www.health.harvard.edu/blog/treatment-with-abiraterone-significantly-improves-survival-in-advanced-prostate-cancer-202201282678
"Exercise, metabolism, and weight: New research from The Biggest Loser","Studies of contestants from the TV show The Biggest Loser found that due to changes in metabolism, people who have lost large amounts of weight have to follow an extremely low-calorie diet in order to maintain the weight loss. Subsequent research indicates that these metabolic changes are related to calorie restriction while weight is being lost, but later become a function of sustained physical activity.",Staying Healthy,"January 27, 2022",https://www.health.harvard.edu/blog/exercise-metabolism-and-weight-new-research-from-the-biggest-loser-202201272676
When the doctor becomes the patient: A transformative experience,"A doctor’s serious health threat prompts reflection on the power of spirituality, the value of mindfulness practice, and acknowledgment of mortality as a motivator to reassess one’s priorities.",Heart Health,"January 26, 2022",https://www.health.harvard.edu/blog/when-the-doctor-becomes-the-patient-a-transformative-experience-202201262675
5 skills teens need in life — and how to encourage them,"All parents want their children to be happy and able to successfully navigate life’s challenges. Five core skills form a great foundation, and while parents can and should support young children in building these skills, encouraging teens to reinforce and refine their skills is important.",Child & Teen Health,"January 25, 2022",https://www.health.harvard.edu/blog/5-skills-teens-need-in-life-and-how-to-encourage-them-202201252674
Stretching studios: Do you need what they offer?,,Exercise & Fitness,"January 24, 2022",https://www.health.harvard.edu/blog/stretching-studios-do-you-need-what-they-offer-202201242673
Why are women more likely to develop Alzheimer’s disease?,"Of the more than six million people over 65 in the US who have Alzheimer’s disease, almost two-thirds are women. This is partly because women live longer than men, but other factors make women more likely to develop the disease, especially later in life.",Mind & Mood,"January 20, 2022",https://www.health.harvard.edu/blog/why-are-women-more-likely-to-develop-alzheimers-disease-202201202672
Seeing red? 4 steps to try before responding,,Mind & Mood,"January 19, 2022",https://www.health.harvard.edu/blog/seeing-red-4-steps-to-try-before-responding-202201192671
Tics and TikTok: Can social media trigger illness?,"For hundreds of years there have been documented instances of groups of people developing similar, medically inexplicable, and sometimes bizarre symptoms, such as paralysis, involuntary tics, or uncontrollable laughter. Known as sociogenic illness, a recent example appears to be fueled by social media postings—meaning physical proximity is no longer a factor.",Mind & Mood,"January 18, 2022",https://www.health.harvard.edu/blog/tics-and-tiktok-can-social-media-trigger-illness-202201182670
Pandemic challenges may affect babies — possibly in long-lasting ways,The first three years of life are crucial for brain development. Interactions between babies and their caregivers build neural connections in the brain and lacking sufficient interactions may affect brain development. A study found that babies born during the pandemic scored lower in several areas of development than babies born before it started.,Child & Teen Health,"January 13, 2022",https://www.health.harvard.edu/blog/pandemic-challenges-may-affect-babies-possibly-in-long-lasting-ways-202201132668
4 immune-boosting strategies that count right now,,Staying Healthy,"January 12, 2022",https://www.health.harvard.edu/blog/4-immune-boosting-strategies-that-count-right-now-202201122669
"If you have knee pain, telehealth may help",,Pain,"January 11, 2022",https://www.health.harvard.edu/blog/if-you-have-knee-pain-telehealth-may-help-202201112667
How to address opposition in young children,,Child & Teen Health,"January 10, 2022",https://www.health.harvard.edu/blog/how-to-address-opposition-in-young-children-202201102666
New study investigates treatment-associated regrets in prostate cancer,,Men's Health,"January 6, 2022",https://www.health.harvard.edu/blog/new-study-investigates-treatment-associated-regrets-in-prostate-cancer-202201062665
